person,address,city,start_date,end_date
XXXXXXXXXXXXXXX8,3rd Street 7,Napoli,1997-08-09,2021-05-15
XXXXXXXXXXXXXXX8,Tanglewood Drive 20,Firenze,2021-05-15,null
XXXXXXXXXXXXXX37,8th Avenue 2,Bari,1996-03-30,2021-05-08
XXXXXXXXXXXXXX37,Lawrence Street 21,Bari,2021-05-08,null
XXXXXXXXXXXXXXX3,Harrison Avenue 22,Torino,1990-11-09,2021-05-17
XXXXXXXXXXXXXXX3,Railroad Avenue 2,Napoli,2021-05-17,null
XXXXXXXXXXXXXXX4,Tanglewood Drive 11,Bari,1939-05-28,2021-06-11
XXXXXXXXXXXXXXX4,Warren Avenue 2,Napoli,2021-06-11,null
XXXXXXXXXXXXXX40,Grant Avenue 7,Catania,1930-10-08,2021-05-18
XXXXXXXXXXXXXX40,Bay Street 28,Palermo,2021-05-18,null
XXXXXXXXXXXXXX25,Bridle Lane 17,Firenze,1975-05-30,2021-05-19
XXXXXXXXXXXXXX25,Aspen Court 8,Bari,2021-05-19,null
XXXXXXXXXXXXXX11,Vine Street 5,Roma,2003-02-03,2021-06-22
XXXXXXXXXXXXXX11,Rose Street 6,Genova,2021-06-22,null
XXXXXXXXXXXXXX22,Myrtle Street 29,Palermo,1963-05-22,2021-05-04
XXXXXXXXXXXXXX22,13th Street 15,Torino,2021-05-04,null
XXXXXXXXXXXXXX32,Fairway Drive 10,Catania,2004-08-04,2021-05-19
XXXXXXXXXXXXXX32,Riverside Drive 6,Milano,2021-05-19,null
XXXXXXXXXXXXXX13,James Street 4,Roma,1968-06-06,null
XXXXXXXXXXXXXX42,Park Avenue 30,Palermo,1949-08-25,null
XXXXXXXXXXXXXX33,Spring Street 5,Napoli,2020-11-24,2021-05-24
XXXXXXXXXXXXXX33,Oxford Road 9,Firenze,2021-05-24,null
XXXXXXXXXXXXXX16,Pin Oak Drive 26,Catania,1984-07-01,2021-06-13
XXXXXXXXXXXXXX16,Cedar Lane 25,Bari,2021-06-13,null
XXXXXXXXXXXXXX23,Union Street 15,Roma,1955-07-26,2021-05-04
XXXXXXXXXXXXXX23,Bayberry Drive 16,Bari,2021-05-04,null
XXXXXXXXXXXXXX10,Park Avenue 30,Bologna,2012-06-18,2021-05-06
XXXXXXXXXXXXXX10,Warren Avenue 18,Bari,2021-05-06,null
XXXXXXXXXXXXXXX6,Forest Street 24,Bologna,1931-05-20,null
XXXXXXXXXXXXXX24,3rd Street East 4,Milano,1947-04-02,null
XXXXXXXXXXXXXX35,Riverside Drive 20,Catania,1973-10-08,2021-05-28
XXXXXXXXXXXXXX35,Forest Drive 11,Firenze,2021-05-28,null
XXXXXXXXXXXXXX18,12th Street 3,Milano,1980-02-16,2021-06-29
XXXXXXXXXXXXXX18,Fawn Lane 20,Firenze,2021-06-29,null
XXXXXXXXXXXXXX44,Chestnut Avenue 6,Roma,1942-03-05,2021-06-14
XXXXXXXXXXXXXX44,Tanglewood Drive 15,Napoli,2021-06-14,null
XXXXXXXXXXXXXXX2,Wood Street 1,Bari,1946-10-07,2021-05-10
XXXXXXXXXXXXXXX2,Madison Court 6,Napoli,2021-05-10,null
XXXXXXXXXXXXXX21,Maple Street 30,Palermo,1984-09-30,2021-05-24
XXXXXXXXXXXXXX21,Evergreen Drive 15,Genova,2021-05-24,null
XXXXXXXXXXXXXX31,Bayberry Drive 8,Napoli,1973-03-04,null
XXXXXXXXXXXXXX39,4th Street West 20,Bologna,2008-07-10,null
XXXXXXXXXXXXXX12,Race Street 17,Bologna,1992-09-08,2021-05-31
XXXXXXXXXXXXXX12,James Street 29,Napoli,2021-05-31,null
XXXXXXXXXXXXXX30,Church Street South 9,Firenze,1955-11-21,2021-06-20
XXXXXXXXXXXXXX30,Columbia Street 12,Milano,2021-06-20,null
